feature	coef.treatment_group	stderr.treatment_group	pval.treatment_group	qval.treatment_group	coef.responder_group	stderr.responder_group	pval.responder_group	qval.responder_group
1	OCTANOYLCARNITINE	-0.139245468904895	0.030437369488976	7.34995060198118e-06	0.000911393874645666	-0.15821730649154	0.0422027454756464	0.0002418473342706	0.0149945347247772
2	GLUTAMIC ACID	0.0819784546236258	0.0240273604962375	0.000746761799572759	0.0397994259474124	0.116323449557586	0.0287779324970495	7.9600966703298e-05	0.00987051987120895
3	TAURINE	0.0997619563746028	0.0298789392919414	0.000962889337437397	0.0397994259474124	0.143153208144674	0.039550652019187	0.000387369790521208	0.0160112846748766
4	URACIL	0.277446261923614	0.090511688111574	0.00240082019500068	0.0744254260450212	0.202304007595318	0.100366545010246	0.0453840301132106	0.386488436127948
5	1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID	0.0249783044727614	0.00866665408358194	0.00427625078888245	0.106051019564285	0.037694146920818	0.011192219130081	0.000933619647395788	0.0289422090692694
6	INDOLEPROPIONIC ACID	0.126133031446415	0.0497817669785296	0.0118671346227967	0.245254115537799	0.0873225667870312	0.065201561403688	0.182239321655869	0.684212238081093
7	PYROGLUTAMIC ACID	0.0295734566082425	0.0122499708732367	0.0164546509217118	0.291482387756037	0.0404481388107602	0.0158517622411328	0.0115869850029801	0.159642904485504
8	HOMOCYSTINE	-0.249989984158974	0.108355696127058	0.0218250410154531	0.301430890544869	-0.227763983420957	0.130247521839309	0.0821163726690724	0.48487762909357
9	ORNITHINE	0.0364124297311811	0.0158013011024161	0.0219800167036977	0.301430890544869	0.063995868206576	0.0199088976197426	0.00155948755643491	0.0322294094996549
10	HYPOXANTHINE	0.0502961834147645	0.0225731468932322	0.0267168825999467	0.301430890544869	0.0523933940404322	0.0283375416338161	0.0661782374587274	0.472631048304893
11	N-ACETYLTRYPTOPHAN	0.0410959246674342	0.0185379353334487	0.0274885208879373	0.301430890544869	0.00597528687583002	0.0233045113696979	0.797946298365852	0.90775542199418
12	CHOLINE	0.0240474913317344	0.0109647067167531	0.0291707313430519	0.301430890544869	0.0238996361395611	0.013636617094342	0.0814409386792158	0.48487762909357
13	ASPARAGINE	0.0227791985046122	0.0112018370541421	0.0430035635509633	0.407606948814	0.0422660684694851	0.0136353830188028	0.00226152880178247	0.0400613673458609
14	INOSINE	-0.169234293021095	0.084418797225006	0.0460201393822258	0.407606948814	-0.328770117755248	0.102006377523147	0.0015160116151087	0.0322294094996549
15	N-ACETYLNEURAMINATE	0.116818593523685	0.0594803282879401	0.050584770813467	0.418167438724661	0.181973525737202	0.0736063465163252	0.0143932342295945	0.178476104446972
16	TRYPTOPHAN	0.019162631121817	0.0101447779251878	0.0600033106546596	0.43148422661479	0.0138323770010429	0.0129093412554643	0.285436566995323	0.753066687391917
17	ALANINE	0.0212512032224886	0.0112562142339021	0.060133015076902	0.43148422661479	0.0289614385614344	0.0149809406241514	0.0548418924859834	0.425024666766371
18	GUANOSINE	-0.207593008950822	0.111029378228624	0.0626348070892437	0.43148422661479	-0.277486978262548	0.13207539075888	0.0370923453180536	0.353803909187588
19	ISOVALERYLGLYCINE	0.0262780389027542	0.0149285233193729	0.0795266102510884	0.519015772164998	0.0142141512859397	0.0185161169475459	0.443733480469589	0.887094186447623
20	DOXYLAMINE	-0.233418716874579	0.137976197874968	0.0918815796834655	0.540097972036321	-0.233348568552603	0.186238108524159	0.211911800659054	0.684212238081093
21	4-ACETAMIDOPHENOL	-0.156024785354503	0.0924530725739001	0.0926715142690694	0.540097972036321	-0.198767327509068	0.12449062497397	0.112169900206324	0.579544484399339
22	1,6-ANHYDRO-B-GLUCOSE	-0.0121958723756984	0.00729661841733317	0.0958238337483796	0.540097972036321	-0.00567159620077185	0.00958504938484329	0.554815376440708	0.905225087876944
23	CREATINE	0.0343594130590399	0.0208353179901582	0.100322135230905	0.540867163853575	-0.00929662138049056	0.0283044402165303	0.742967912593624	0.90775542199418
24	BUPROPION	0.310094513454009	0.202089240809657	0.126122667027468	0.612134700631348	0.214926868677236	0.269351477989905	0.425998051895109	0.865963253032681
25	CYSTINE	-0.0319852368944893	0.0215694092411065	0.139298767133551	0.612134700631348	-0.00889230102971926	0.0267140957790113	0.739636013724696	0.90775542199418
26	3-HYDROXYPROPIONIC ACID	-0.0147916690157385	0.0101493707781867	0.146199615957356	0.612134700631348	-0.0236173584858658	0.0133524669623073	0.0786955282631467	0.48487762909357
27	DECANOYLCARNITINE	-0.192597418650895	0.134831555567301	0.154354660836478	0.612134700631348	-0.120876367160807	0.180143492756545	0.503115115286669	0.891232489936385
