,m_c18p_0001,m_c18p_0003,m_c18p_0004,m_c18p_0007,m_c18p_0009,m_c18p_0011,m_c18p_0015,m_c18p_0021,m_c18p_0022,m_c18p_0026,m_c18p_0027,m_c18p_0028,m_c18p_0032,m_c18p_0037,m_c18p_0038,m_c18p_0039,m_c18p_0044,m_c18p_0046,m_c18p_0047,m_c18p_0049,m_c18p_0055,m_c18p_0056,m_c18p_0061,m_c18p_0063,m_c18p_0067,m_c18p_0068,m_c18p_0080,m_c18p_0081,m_c18p_0096,m_c18p_0097,m_c18p_0098,m_c18p_0106,m_c18p_0108,m_c18p_0114,m_c18p_0115,m_c18p_0118,m_c18p_0120,m_c18p_0122,m_c18p_0126,m_c18p_0129,m_c18p_0131,m_c18p_0135,m_c18p_0137,m_c18p_0139,m_c18p_0155,m_c18p_0158,m_c18p_0160,m_c18p_0161,m_c18p_0163,m_c18p_0170,m_c18p_0172,m_c18p_0178,m_c18p_0182,m_c18p_0190,m_c18p_0199,m_c18p_0210,m_c18p_0220,m_c18p_0222,m_c18p_0223,m_c18p_0230,m_c18p_0233,m_c18p_0234,m_c18p_0238,m_c18p_0239,m_c18p_0240,m_c18p_0241,m_c18p_0244,m_c18p_0253,m_c18p_0257,m_c18p_0265,m_c18p_0269,m_c18p_0270,m_c18p_0274,m_c18p_0276,m_c18p_0280,m_c18p_0281,m_c18p_0284,m_c18p_0290,m_c18p_0297,m_c18p_0298,m_c18p_0300,m_c18p_0301,m_c18p_0302,m_c18p_0305,m_c18p_0309,m_c18p_0311,m_c18p_0318,m_c18p_0322,m_c18p_0326,m_c18p_0327,m_c18p_0329,m_c18p_0334,m_c18p_0341,m_c18p_0349,m_c18p_0353,m_c18p_0355,m_c18p_0356,m_c18p_0360,m_c18p_0363,m_c18p_0374,m_c18p_0375,m_c18p_0378,m_c18p_0380,m_c18p_0392,m_c18p_0395,m_c18p_0397,m_c18p_0402,m_c18p_0403,m_c18p_0418,m_c18p_0426,m_c18p_0428,m_c18p_0430,m_c18p_0432,m_c18p_0438,m_c18p_0441,m_c18p_0442,m_c18p_0447,m_c18p_0456,m_c18p_0469,m_c18p_0475,m_c18p_0500,m_c18p_0501,m_c18p_0527,m_c18p_0530,m_c18p_0572,m_c18p_0574
4000_1,16361,732,919,15544,118251,139752,385013,32626588,6325861,3162,128665,322817,524381,945956,233167,5866078,2772790,7633,25122,88332,6391360,34729,3580,57761,734305,1544230,3271783,18754,36536,93687,30166,57639,0,51237,593825,20794,16192,41291,17671,658024,154678,288762,81749,7348,107796,9721,29148,65477,355619,690697,368226,2880139,56737,53900,67178,23922,1432522,45437,13879,11984,18129910,46645736,36270,37987,74659,116742,3302,124028,65920,7624,3564,48143,212409,322386,95682,107538,89038,404367,201681,976263,983170,8040487,23485,246848,12609,9653,870854,78284,72307,3853,10402,1672,53531,56598,660566,30601108,3829,59661,401535,9064,454753,51180,1672,10717,0,24587,61007,25452,476330,728857,4,21854,247,20223,19530,1727,1639276,20949,5360,76322,125,15228,0,773484,33208,39212
4000_2,1092,2600,979,9173,109523,132958,272935,31308808,5933950,4201,75734,198038,457468,767968,180265,4820794,2463079,9317,27416,75753,6030931,34151,3109,37092,1127620,2163353,3854636,23296,19126,43373,29325,53401,296,50117,425913,20071,12602,41092,25113,460976,58844,238997,94222,2811,65108,8271,12348,62230,398491,699641,308865,2469211,6353,53053,57339,16886,1750953,52088,19046,11701,14067640,38440252,16665,35521,56224,107760,1776,105059,43126,9135,3641,17796,52784,373556,121404,136344,57046,754918,126976,487639,1122322,7057080,13908,102135,9035,9730,245026,61925,100550,4094,11772,1820,20907,55838,840103,23687438,7680,54519,384911,45946,338144,41688,1449,13875,201,29304,50649,454,433382,858554,0,127794,194,23854,24095,37315,1681458,21771,4244,2683362,164,6024,0,205117,7407,12194
4000_3,948,1196,1021,13094,86405,199673,535386,33272576,6018952,4400,84947,200567,443362,800106,167848,4073979,2081047,8140,32149,68947,6899026,34787,4716,37940,726907,2202258,4549822,27715,18195,58209,30093,48402,1295,48982,603087,19086,15547,29705,23588,672806,85659,208554,84925,5295,99553,9494,11162,70065,484462,679787,326780,2633066,3049,62494,59050,17269,1953372,51419,12674,13337,14273283,39976740,23527,31103,60523,122398,3206,106866,75020,9925,3266,45568,66109,338650,105862,115949,65874,1112978,108146,549664,1094462,7123434,15569,165092,17929,10278,320721,102377,245695,4700,8245,1629,30399,55486,1161247,26147942,8717,65715,396554,24222,623739,41447,12728,8260,304,32286,58955,599,426473,608886,0,248871,370,15942,24937,52265,2171928,23666,5121,44624,0,10193,0,304177,12307,23204
4000_4,3070,1883,480,10920,93074,155521,215242,35199176,6479910,3168,81500,242132,430434,815284,187078,5594834,4621090,8995,32282,79698,6859632,31504,4970,27385,765628,1819511,3496480,20926,15246,53006,32468,46264,237,56958,498361,18924,11877,57984,38015,644703,65756,301316,152485,5179,77359,8427,14674,75936,449739,676654,374786,2791959,16194,50297,58883,19615,1773421,54374,14061,12522,16278925,42646880,21604,65128,89715,189562,2368,126634,33676,10230,3300,42153,48669,337907,77250,135948,72872,599359,128936,455255,1057885,7882534,17097,116712,5103,11068,244003,72672,109606,9469,15183,1063,15239,52933,919818,28346732,6292,65309,405669,30964,556657,45732,1585,11619,415,35727,52882,3226,413609,1406649,7,101579,148,17377,22880,24053,1473206,20997,4356,2503043,546,5733,0,188308,8211,20590
4001_1,7584,3435,11966,11055,91144,154003,25351,32958786,7148354,8394,51533,344393,613904,730706,132528,6828001,1317919,9279,47461,76402,5245838,58529,13475,33221,711416,1037706,4954764,16263,26357,26772,38266,35291,683,36419,386956,27914,7193,34304,52755,607292,86645,278749,62184,6967,93758,28992,25795,43462,367483,822507,259986,2327153,3159188,39617,51022,16274,4145438,108370,42199,29029,12946791,38569700,61094,41469,74424,88184,6868,86874,21321,16635,17915,87207,162007,262569,27839,124937,42658,1370256,678888,3929366,213589,8983623,21280,419156,4851,21271,378884,53339,111329,7779,8561,5763,38476,38247,89835,30260234,9901,37583,524074,38475,200835,36980,2393,21901,997,23530,45065,1197,1220381,924711,0,258012,281,160686,9058,65316,875885,10449,25065,2705639,165,27779,108,538769,17020,25039
4001_2,5626,8240,7115,9967,67726,250361,29894,33266300,6079954,8947,51202,356319,621946,718269,140947,5871980,1549881,14860,58789,86212,4719716,68437,7901,23328,558700,1029525,5696212,16800,14647,22472,35469,44481,0,37036,289396,36225,10561,30542,42048,464455,68620,300920,62399,7586,67325,81643,36275,52003,415546,932772,250835,2712594,2633396,54160,35406,11847,4837616,118223,41086,27990,13455027,40493320,40686,54361,67939,105942,1806,79899,28550,17313,22743,80232,78943,277527,22730,129672,56959,1320765,685303,3186287,207265,7807394,19669,306227,5972,20968,186819,41121,148414,6197,8000,5362,32166,49999,250665,32113980,11597,35951,472402,38501,243797,30344,36782,14350,2450,37263,43783,327,1103011,414494,0,528324,393,201880,14254,143434,1971239,12829,19007,5159276,1016,35545,0,284323,10484,17127
4001_3,6580,1716,3569,12157,112204,214895,27875,32747436,7393285,8448,46133,465096,694124,957773,140727,7133502,3537495,10691,55531,118065,5230876,71855,14053,11103,784023,925188,6635612,21216,1723,1659,38390,51524,0,40272,358162,39941,7002,33014,30898,648950,3050,353237,95977,3317,45361,27066,3794,64140,415086,1036469,247746,3333176,4423996,42997,44053,19161,3297654,119564,46937,34060,15198650,46190396,50783,69336,88928,136323,5625,77301,23792,17249,20216,82952,19478,261828,55214,134242,57665,615177,820250,4001519,976844,9729719,23239,12056,6923,15943,2658,33241,227294,7906,10147,5464,26885,49054,449806,37404276,7642,43616,462047,8740,268564,36021,2029,22852,1981,30011,40970,1135,922549,931379,0,65927,15,646127,22019,10862,1635626,13769,36540,3993456,484,828,4,328,1492,38836
4001_4,4841,3578,9398,14556,97916,172703,24701,34852944,6596056,8281,47762,424700,796859,793721,171287,8315924,1047518,10374,56203,96520,5913410,61978,8549,31414,1058022,932070,6651329,19890,12889,24101,65632,43098,0,32592,303039,33765,12868,36524,27947,401690,75717,315840,50088,4289,104371,18620,14469,51071,408635,988212,245747,3286553,1865887,37425,49713,13921,3769887,114378,41759,29846,13709897,41005812,26063,20969,44182,58990,2104,75785,16749,14019,20562,80013,118475,263136,26974,129288,39020,5032994,326398,1433342,443866,8205750,15550,564465,5409,29960,355653,34643,205470,10478,9914,18930,38970,42169,65036,32233170,29939,35887,428092,47702,153018,31289,1306,9993,8,38362,31747,1205,1477625,712162,0,45650,312,575424,4196,34452,353926,13267,25209,823603,1031,44566,150,569210,11781,17559
4002_1,6505,0,396,11383,72601,170588,179582,29683390,6406151,4453,98294,263803,568211,733624,184231,5533042,2732405,14360,36318,73080,6096726,35942,11349,28370,715141,1483440,4628564,27163,26045,64155,55866,39470,0,53688,223507,26008,15906,44210,20987,391158,89419,483363,138293,7621,66131,9439,24217,89997,377793,717386,399320,2685283,6774,53284,60003,17228,2720368,68365,2936,17610,14953341,38294496,57850,70481,113608,180511,4031,124471,30302,9135,9087,51265,65689,479926,92062,152882,152124,5425916,598683,2736920,573043,8037954,35526,146476,23021,10665,383853,64528,153383,2600,7683,8807,47637,47372,877152,24491604,22270,55840,453803,34190,544887,40206,1497,13815,591,22145,53129,535,494270,1605504,0,15615,263,33606,17289,8625,1609075,16629,3499,2921196,227,7262,140,335573,13698,38947
4002_2,1363,3525,620,9407,86436,186598,239559,27552516,5832108,4697,71483,282057,506890,795545,161980,4612536,2614512,11616,30675,76457,5395478,33957,5390,19672,562674,1492288,4751561,26896,17515,31779,35402,48558,1093,51594,195387,23229,15529,35695,13276,314028,51349,254152,43397,8251,79431,9931,7972,69832,369280,700990,357991,2402322,11119,48961,55639,15982,2487876,66611,11524,18867,12417817,35321596,20922,25819,35937,68347,2563,119166,51610,6495,5456,36461,76192,483062,74746,138985,163497,1457075,273842,986253,1109018,7170516,13734,103348,13403,9453,293905,71416,149266,3338,11421,1803,17532,51075,743813,22721414,9782,46322,340039,22911,370197,40039,149,13370,403,24202,56370,0,397461,1026487,0,64030,314,14379,23171,38119,1684104,13977,3956,47966,500,2987,135,274601,13983,31934
