,feature,coef.treatment_group,stderr.treatment_group,pval.treatment_group,qval.treatment_group,coef.responder_group,stderr.responder_group,pval.responder_group,qval.responder_group
1,fgf21_inflam,0.212572358755788,0.0488293641116983,1.93696131191934e-05,0.00131713369210515,0.155017242813317,0.0497559824050107,0.00216163317227827,0.03523747757973
2,cd40,0.187559985667495,0.0543394433666651,0.000651291505191641,0.0221439111765158,0.193456133376254,0.0544778005389627,0.000498632999650459,0.0169535219881156
3,st1a1,0.195402211719194,0.0607207352621648,0.0014564146951293,0.0330120664229309,0.234998798103841,0.0592798648729919,0.000108976422847011,0.00741039675359677
4,dner,0.138602119315401,0.0466825591651902,0.00326961705661251,0.0439245375605226,0.130197459718852,0.0497057994094264,0.00962062447649966,0.0585289512265193
5,ccl25,0.103508887774088,0.0353610693432555,0.00372667203829908,0.0439245375605226,0.103731811272663,0.0362565408713486,0.00476238848244965,0.0539737361344294
6,opg_inflam,0.151940576055106,0.0521313638107938,0.00387569449063434,0.0439245375605226,0.122363586894644,0.055326021123841,0.028346138903367,0.0876153384285889
7,sirt2,0.190160572380797,0.0682142848250909,0.00570493970283166,0.0458289284394174,0.184470232481165,0.068450525186088,0.0077599775221783,0.0575502175217067
8,stampb,0.18535020783493,0.0672601144848046,0.00627543198432444,0.0458289284394174,0.17945078021804,0.0658520366855378,0.00711404895263717,0.0575502175217067
9,ccl11,0.136383295630066,0.0498691873988558,0.00667581196289073,0.0458289284394174,0.135019968859933,0.0526339840258653,0.0111893583227169,0.0585289512265193
10,tweak,0.157032667411632,0.0574874577095223,0.00673954829991432,0.0458289284394174,0.142314209748579,0.0610175461017464,0.0208753286715761,0.0738001987191
11,il10rb,0.12525512832689,0.0465055204092754,0.00753952308325465,0.0466079608783014,0.108165435855283,0.0496734738027882,0.0308440573541707,0.0902756576996979
12,ccl3_inflam,0.114645855888691,0.0431095744554379,0.00831963420473691,0.0466216215738382,0.121641398347386,0.0436855689376614,0.00598060988102129,0.0575502175217067
13,cd6,0.115332014023982,0.0437615416646684,0.00891295706558671,0.0466216215738382,0.0959317783522423,0.0458805587602403,0.0380507105215368,0.0958314190912779
14,cd5,0.109050794274412,0.0419778658773903,0.00992312683945385,0.0474717874262071,0.0980131868457648,0.0422820134845963,0.0216574586011822,0.0738001987191
15,tnfsf14,0.169190720936065,0.0666362143499598,0.0117067503271811,0.0474717874262071,0.206871900909671,0.0648411035577452,0.00169704095045314,0.03523747757973
16,il8,0.14130107699842,0.0559809106746351,0.012202853568334,0.0474717874262071,0.14838231639894,0.0573934787807863,0.0105818757555104,0.0585289512265193
17,scf_inflam,0.0958744794323658,0.0383518491761656,0.0130480655346718,0.0474717874262071,0.0969021507280845,0.0406214195429875,0.018176133792897,0.0738001987191
18,hgf,0.128928976265121,0.0518770463226441,0.0135816694944179,0.0474717874262071,0.139888424057662,0.0524983350337855,0.00846326728260392,0.0575502175217067
19,cxcl6,0.104078136478524,0.0419066444242073,0.0136454268504962,0.0474717874262071,0.0916867713378907,0.0431433140866282,0.0350435088435653,0.0953183440544976
20,flt3l,0.112400764104304,0.0454110812022543,0.0139622904194727,0.0474717874262071,0.108811881125963,0.0469580848772928,0.0217059407997353,0.0738001987191
21,ccl19,0.0900771782177704,0.0374892433593805,0.0169820352462415,0.0504012229487659,0.0787989605103172,0.038789272186385,0.0437933202853365,0.100398444089472
22,csf1,0.116580044437481,0.0485982184195605,0.0171595418593641,0.0504012229487659,0.0998215792537081,0.0507618502224199,0.0509018644960994,0.107489043307321
23,vegfa,0.0914946276010922,0.0381995653827331,0.0173288257609456,0.0504012229487659,0.0767937073356838,0.0392766906830734,0.0522288314102259,0.107489043307321
24,upa_inflam,0.112814050952789,0.0476361783363989,0.0186132772162919,0.0504012229487659,0.101865350284656,0.0502639768698217,0.0442934312159434,0.100398444089472
25,mcp4,0.109588278284643,0.0463230447464805,0.0187368127895424,0.0504012229487659,0.0777439625319776,0.0494381833586637,0.117715956180858,0.166764271256215
26,lifr,0.124244923911919,0.0527561533321291,0.0192710558333517,0.0504012229487659,0.115384934346671,0.0548169873206779,0.036795437255502,0.0958314190912779
27,axin1,0.156937410732115,0.0676630590332897,0.0211579324141534,0.0532866445986087,0.195420461774907,0.0638925292504527,0.00259099099850956,0.03523747757973
28,ada,0.114888654778501,0.0502215491746496,0.0229715034573646,0.0557879369678853,0.0955054947730368,0.0516350896753653,0.066135123935931,0.121545633179549
29,ccl4,0.0976786339661221,0.043128139760395,0.0243552343129851,0.0571088252856202,0.0890797465749746,0.0437111895264942,0.0431360294662301,0.100398444089472
30,tnfrsf9,0.0837199630190733,0.0391473082524048,0.0334120283804308,0.0757339309956431,0.0683018233121814,0.0413646406806083,0.100574365389366,0.152785485751871
31,tnfb,0.0909653276755604,0.0429550117621332,0.0351618813110557,0.0771292880371545,0.0720314624121587,0.0434326270922243,0.099100841298906,0.152785485751871
32,mcp1_inflam,0.106701857977096,0.0518787114032464,0.0407191673980316,0.0839406324753797,0.0942751066245788,0.0529392691357086,0.0767603839593305,0.137360687085118
33,cxcl11,0.0893795034651571,0.0434696479283607,0.0407793814233802,0.0839406324753797,0.101317210069399,0.0436121622932965,0.0213772226955931,0.0738001987191
34,il18r1,0.0801298904503493,0.0392019893561603,0.0419703162376899,0.0839406324753797,0.0858756190148368,0.0385663678425873,0.0273048567570026,0.0876153384285889
35,lap_tgfbeta1,0.095783254146833,0.0498324478928776,0.0556979298084683,0.105771868390602,0.0862902925866164,0.0523473233861358,0.10114686363784,0.152785485751871
36,pdl1,0.100435202463578,0.0523168917032876,0.0559968715009068,0.105771868390602,0.101518085868313,0.053711936203299,0.0604841547181999,0.117512072023931
37,trail,0.0983631452502528,0.0515638769432846,0.057557817508502,0.10578193488049,0.0898403660385833,0.0531065017398957,0.0925679742975964,0.152785485751871
38,il18_inflam,0.0624556852159535,0.0335831343861077,0.0640657804097048,0.114644028101577,0.0554337611019267,0.0340348260232433,0.105253801393335,0.152785485751871
39,cxcl10,0.093901183716415,0.0517455682257633,0.0707402771171448,0.122610708806336,0.0978986005450705,0.0495102498036509,0.0496489733445921,0.107489043307321
40,cd8a,0.0506787753158622,0.0280648778899412,0.0721239463566683,0.122610708806336,0.0459555361846188,0.0269495545825223,0.090008501567367,0.152785485751871
41,cx3cl1,0.0850461636009809,0.0477005841192145,0.0757801216464077,0.124630318356257,0.0702842389683075,0.046168701742422,0.129816403945442,0.176550309365801
42,cd244,0.0826144886311745,0.0465269085617531,0.0769775495729825,0.124630318356257,0.068016551110755,0.0481019453810876,0.159220980689217,0.208212051670515
43,cst5,0.0648403413616015,0.0370459244742483,0.0812652039068465,0.125628903286206,0.0616341352198706,0.039553539387034,0.121068064319566,0.168012823953684
44,cxcl1_inflam,0.0858334168596513,0.0490440267104562,0.0812892903616625,0.125628903286206,0.0798018767251425,0.0477370191498708,0.0964565948112951,0.152785485751871
45,trance,0.0690450820586449,0.0397270970497268,0.0834113136926726,0.126043762913372,0.0545373181491618,0.0400596035435215,0.175219931378703,0.218810824490723
46,mcp2,0.0677892819020147,0.039324004893964,0.085934752873769,0.12703398250905,0.0637393750301208,0.039173667363513,0.105601732799087,0.152785485751871
47,tgfalpha,0.107267867204486,0.0641786967879888,0.0958610881011738,0.138409016441648,0.131068137987246,0.0605592580305455,0.0318619968351875,0.0902756576996979
48,tnf,0.0964261527868368,0.0580126639289584,0.0977004821941045,0.138409016441648,0.0820905116301069,0.0572961888321629,0.153801584913092,0.205068779884123
49,osm,0.09197027394367,0.0599210462659727,0.126048942903521,0.172250066809883,0.136841121728803,0.0562360483077196,0.0160150478064752,0.0726015500560207
50,four_ebp1,0.103581585320613,0.0675944732230787,0.12665446088962,0.172250066809883,0.0595398640498536,0.0660070231356704,0.368343680070534,0.410612626963874
51,il10,0.0628851186776342,0.0421200329967171,0.136664358027913,0.178950054364922,0.0659324150471192,0.0353626999107518,0.0640118044357921,0.120911186156496
52,slamf1,0.0815379499612656,0.0546387119546228,0.136844159220235,0.178950054364922,-0.00288818809256844,0.0551201037048746,0.958274121546645,0.958274121546645
