,scfa_2_methylbutyric,scfa_2_methylpropionate,scfa_3_methylbutyric,scfa_4_methylpentanoate,scfa_acetate,scfa_butyrate,scfa_hexanoate,scfa_pentanoate,scfa_propionate
4000_1,-0.476278359189904,-0.563585212814683,-0.546474043297871,0.0722268862606763,0.293061360566518,-0.580382380914308,0.515533168983187,-0.201946063944874,0.128236956139699
4000_2,-0.607208027884628,-0.691281975047863,-0.603433033417795,-0.483210999477612,-0.187310014106722,-0.936509123862678,-0.352606172735118,-0.270032953891776,-0.081586274772321
4000_3,-0.782432879000046,-0.737314862306033,-0.733535961353567,0.0100502370388063,1.71151598037741,-0.106103876953276,0.186348491352634,0.306864582630331,1.33119748123484
4000_4,-1.04576924059444,-0.950757699786253,-0.930313806129266,-0.605514412422142,2.46978368892824,0.439640691708219,-0.117332230214931,0.985176927807603,2.3759712896395
4001_1,-0.0988829078688337,-0.199972813719981,-0.126795242447848,-0.285090591760011,-1.01519203130214,-1.06556478145796,-0.462471499053866,-0.672694915019808,-0.988748142661873
4001_2,-0.0432368711736714,0.0222239651827448,-0.108468729172863,-0.0424790162736107,-0.67741726888255,-0.572204438512193,-0.435628578242995,-0.309752722349722,-0.387071772536169
4001_3,-0.514130838501182,-0.526070308566997,-0.575574069525899,-0.24153641375926,-0.719081910674376,-0.56679371818505,0.0326520912311567,-0.604279606759681,-0.716442771976813
4001_4,-0.712032575241554,-0.741847382298503,-0.725263338889031,-0.117996316968803,-0.628244247398596,-0.538260025470862,-0.286639718228099,-0.591778631958417,-0.638577703439069
4002_1,0.634295501582151,0.749585320233829,0.645967550265348,-0.198989341818932,0.667161711973538,0.772739870029504,1.22624142327197,0.707770112428011,0.568938038617007
4002_2,-0.390998787029263,-0.439302690139446,-0.436588884177546,0.00919647192166191,-0.409287104689125,-0.702683548211214,-0.371356086702561,-0.557090562841173,-0.429147374580168
4002_3,-0.260128856510092,-0.272031283360164,-0.314724408654841,-0.368175477092698,-1.10614276392938,-1.23608551290173,-0.575956608491234,-0.907744772144407,-0.875940743070473
4002_4,-0.466442990541932,-0.518969812270147,-0.531571094880947,0.107324631440764,-0.990929264397573,-1.05065433508232,-0.634742305066176,-0.854568989845681,-0.825581392327149
4003_1,-0.612651060726183,-0.686310886619511,-0.622758921584275,-0.476696629657592,-0.21971442657486,0.618707297799382,-0.671776582392588,-0.517697023777661,-0.180243184315011
4003_2,-0.553360631451242,-0.694325799634602,-0.515655046914347,-0.0779865280738522,-1.29944121460854,-0.121502446239121,-0.838676824955322,-0.431038428709624,-0.495900558013409
4003_3,-0.546171236234888,-0.694657266155337,-0.570620402308745,-0.605514412422142,-0.940890286435165,-0.340205649423921,0.177822972716491,-0.464854834786168,-0.600073692391122
4003_4,-0.6565796689354,-0.765071785901355,-0.64292996411829,-0.0493327625599858,-0.841595047933016,0.192400717720097,0.150893121657913,-0.256792721413827,-0.354495852480548
4004_1,-0.145571497629712,-0.273827387083542,-0.0930733506040682,-0.343724518284417,-1.10164427497362,-1.10361638598941,-0.484775639323013,-0.75498179900577,-1.11084921810759
4004_2,0.966111905346285,0.923194620103122,1.11311292018428,0.412593994247378,-0.476918009130103,-0.209034838757342,-0.304266614577141,0.808859935733811,-0.635568907328419
4004_3,0.056846174837848,0.00338233872056754,0.00748646814220519,-0.605514412422142,-0.556380063053663,-0.557462881009291,0.932349245747108,0.0165409586210509,-0.501543162873833
4004_4,-0.576447186946007,-0.5589670015806,-0.540545286890416,0.406673339413672,-0.615578200958198,-0.297964628093129,0.677637435619638,-0.29739911220514,-0.483269523146511
4005_1,0.381829956944993,0.361822516002985,0.156320305547786,0.0728345333522832,-0.370807973798191,0.43458838232247,0.358009467262997,0.149669581688537,0.309488002080864
4005_2,1.10326220668333,1.66202522286462,1.1729204939939,5.21220828444994,1.60319609092569,1.80915940319122,2.29610163204943,3.12544655252513,2.61363107851857
4005_3,-0.466186499058136,-0.622141124489663,-0.484103123323415,-0.402118422187119,-1.25700376211763,-1.0627422033032,-0.532127022433518,-1.02338540196366,-0.964631116641783
4005_4,-0.493927582563024,-0.647619669638338,-0.515197633031301,0.026124339868624,-1.49350506218106,-1.11768828082966,-0.771544402837272,-0.940073004326905,-0.88401916235039
4006_1,-0.399510833342399,-0.351123077454525,-0.388312614210006,-0.605514412422142,-0.367911999478182,-0.310804332096958,1.22180857073469,-0.480475586918695,-0.764913382706867
4006_2,-0.671930700937521,-0.692803955368203,-0.630385588613699,0.145379921526518,-0.761344739084844,-0.926416533979322,-0.197033913716425,-0.81191105029604,-0.89793024543997
4006_3,-0.766161398140617,-0.821198142712416,-0.727375460131288,-0.323824934810718,-0.972540933336304,-1.14629463213556,-0.482749562511952,-1.0512370002848,-1.16174563182092
4006_4,-0.347571129977835,-0.367798498307146,-0.219194476344449,0.0343390285054698,-0.732636766794831,-0.709509294899907,-0.651925243414285,-0.611958275395063,-0.897644631231108
4007_1,1.27165432527171,1.25473092880078,1.38465898151693,-0.223643703668541,0.337175608945382,0.722290487271666,0.967878043344994,1.26774303880124,0.391361025763485
4007_2,-0.451156847265584,-0.484611958552005,-0.503662415771774,0.340904203217457,-0.657779917556916,-1.10581352150208,-0.132769936589024,-0.767125581329625,-1.01366024542336
4007_3,-0.475313412106376,-0.558490235506269,-0.511738746719438,-0.302247773097024,-0.959770179784814,-0.732484247735695,-0.0447996433193896,-0.693922821373467,-0.917255865271775
4007_4,-0.45231200244029,-0.448205469810057,-0.374169793293711,0.415723737550828,-0.521267676491097,-0.800858955552546,-0.280027788032655,-0.661433137074002,-0.900925027786151
4008_1,0.274450123463315,0.31635640979887,0.183212477913641,-0.132862208938345,0.339647468868719,-0.180622323811944,0.699675725116086,0.467118974364169,0.326896343756479
