general-projectname	general-readlength	general-readlengthr2	general-runname	general-samplename	subsample-rawreads	subsample-subsampledreads	fastqc-meanreadqualityR1	fastqc-meanreadqualityR2	fastqc-pct-adapter	fastqc-pct-deduplicated	fastqc-pct-dimer	fastqc-pct-gc	fastqc-sequencelength	fastqc-totalsequences	fastqspeciesscreen-pct-Adapters	fastqspeciesscreen-pct-Chloroplast	fastqspeciesscreen-pct-Mitochondria	fastqspeciesscreen-pct-NoHit	fastqspeciesscreen-pct-PhiX	fastqspeciesscreen-pct-Vectors	fastqspeciesscreen-pct-ecoli	fastqspeciesscreen-pct-human	fastqspeciesscreen-pct-mouse	fastqspeciesscreen-pct-rRNA
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	1.A1	68610	68610	34.8	31.1	0.06	13.14	0.00	53	301	68610	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	99.92
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	10	69806	69806	34.8	31.0	0.05	14.33	0.00	53	301	69806	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	100	52217	52217	33.5	30.6	0.05	14.18	0.00	54	301	52217	0.00	0.00	0.00	0.11	0.01	0.00	0.00	0.00	0.00	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	101	62859	62859	34.5	30.6	0.09	13.33	0.00	54	301	62859	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	99.96
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	102	54515	54515	33.9	30.5	0.02	15.63	0.00	54	301	54515	0.00	0.00	0.00	0.08	0.01	0.00	0.00	0.00	0.00	99.91
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	103	59655	59655	34.4	30.7	0.04	13.76	0.00	53	301	59655	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	99.78
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	104	33172	33172	34.4	29.9	0.01	16.53	0.00	55	301	33172	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	99.94
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	105	70705	70705	34.2	30.5	0.04	14.46	0.00	54	301	70705	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	99.91
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	106	62637	62637	34.4	30.9	0.02	14.43	0.00	53	301	62637	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	99.93
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	107.B1	69985	69985	34.3	30.1	0.14	12.49	0.00	57	301	69985	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	99.85
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	108	75787	75787	34.3	30.5	0.07	12.25	0.00	55	301	75787	0.00	0.00	0.00	0.17	0.01	0.00	0.00	0.00	0.01	99.81
